text,label
"I love biryani","food"
"Pizza is my favorite","food"
"Chicken biryani is tasty","food"
"Delicious dosa from South India","food"
"Burger with fries is yummy","food"
"Virat Kohli scored a century","sports"
"I enjoy watching cricket","sports"
"Football is a popular game","sports"
"Hockey is a famous sport in India","sports"
"I love playing badminton","sports"
"New AI technology is growing fast","technology"
"Computer science is interesting","technology"
"Python is used for machine learning","technology"
"Robotics is part of modern AI","technology"
"Quantum computing is the future","technology"
